Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
ITAPETININGA A;COMERCIALIZADA;01/01/1968; 50 ;CEESP;;Itapetininga;SOROCABA
ITAPETININGA C1;COMERCIALIZADA;23/06/1992; 160 ;SH3;;Itapetininga;SOROCABA
ITAPETININGA C2;COMERCIALIZADA;14/08/1992; 128 ;SH3;;Itapetininga;SOROCABA
ITAPETININGA C3;COMERCIALIZADA;30/01/2001; 288 ;Sonho Meu;;Itapetininga;SOROCABA
ITAPETININGA E;COMERCIALIZADA;08/12/1992; 167 ;SH3;;Itapetininga;SOROCABA
ITAPETININGA F1;COMERCIALIZADA;21/11/1996; 101 ;SH4;;Itapetininga;SOROCABA
ITAPETININGA F2;COMERCIALIZADA;19/02/1998; 160 ;SH4;;Itapetininga;SOROCABA
ITAPETININGA F3;COMERCIALIZADA;30/01/2001; 158 ;Sonho Meu;;Itapetininga;SOROCABA
ITAPETININGA G;COMERCIALIZADA;18/12/1998; 142 ;Sonho Meu;;Itapetininga;SOROCABA
ITAPETININGA G;COMERCIALIZADA;12/06/1999; 81 ;Sonho Meu;;Itapetininga;SOROCABA
ITAPETININGA I;COMERCIALIZADA;04/08/2011; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapetininga;SOROCABA
ITAPETININGA M  (VILA DIGNIDADE);COMERCIALIZADA;28/08/2014; 16 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapetininga;SOROCABA
ITAPEVA - CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 17 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA A1;COMERCIALIZADA;01/01/1977; 57 ;CEESP;;Itapeva;ITAPEVA
ITAPEVA A2;COMERCIALIZADA;31/08/1981; 113 ;PLANHAP;;Itapeva;ITAPEVA
ITAPEVA B;COMERCIALIZADA;31/01/1993; 667 ;SH3;;Itapeva;ITAPEVA
ITAPEVA D;COMERCIALIZADA;15/06/1998; 400 ;Chamamento Empresarial;;Itapeva;ITAPEVA
ITAPEVA E;COMERCIALIZADA;12/12/2008; 282 ;Parceria com Municípios;;Itapeva;ITAPEVA
ITAPEVA F;COMERCIALIZADA;26/09/2014; 212 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapeva;ITAPEVA
ITAPEVA H- VILA DIGNIDADE;COMERCIALIZADA;13/02/2011; 18 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapeva;ITAPEVA
ITAPEVA I-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 4 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA II-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 5 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA III-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 6 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA IV-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 5 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA V-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 10 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA VI-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 40 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVA-CAPRICHANDO A MORADA 2008;COMERCIALIZADA;30/12/2008; 16 ;Parceria Associações e Cooperativas;;Itapeva;ITAPEVA
ITAPEVI A1;COMERCIALIZADA;18/10/1998; 600 ;Chamamento Empresarial;;Itapevi;METROPOLITANA SÃO PAULO
ITAPEVI A2;COMERCIALIZADA;18/10/1998; 600 ;Chamamento Empresarial;;Itapevi;METROPOLITANA SÃO PAULO
ITAPEVI E (RMITP-2);COMERCIALIZADA;04/11/2004; 440 ;Núcleo Habitacional por Empreitada;;Itapevi;METROPOLITANA SÃO PAULO
ITAPEVI F (RMITP-1);COMERCIALIZADA;10/10/2003; 260 ;Núcleo Habitacional por Empreitada;;Itapevi;METROPOLITANA SÃO PAULO
ITAPEVI G1/G2 (RMITP-4);COMERCIALIZADA;04/11/2004; 220 ;Núcleo Habitacional por Empreitada;;Itapevi;METROPOLITANA SÃO PAULO
ITAPIRA A;COMERCIALIZADA;24/10/1992; 394 ;SH3;;Itapira;CAMPINAS
ITAPIRA B;COMERCIALIZADA;24/07/1992; 179 ;SH3;;Itapira;CAMPINAS
ITAPIRA C;COMERCIALIZADA;16/03/1996; 25 ;SH4;;Itapira;CAMPINAS
ITAPIRA D;COMERCIALIZADA;16/03/1996; 39 ;SH4;;Itapira;CAMPINAS
ITAPIRA F;COMERCIALIZADA;09/11/1996; 32 ;SH4;;Itapira;CAMPINAS
ITAPIRA G1;COMERCIALIZADA;22/11/1997; 300 ;SH4;;Itapira;CAMPINAS
ITAPIRA G2;COMERCIALIZADA;18/08/2000; 57 ;Sonho Meu;;Itapira;CAMPINAS
ITAPIRA I;COMERCIALIZADA;22/12/2004; 130 ;Núcleo Habitacional por Empreitada;;Itapira;CAMPINAS
ITAPIRA L;COMERCIALIZADA;11/11/2016; 59 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapira;CAMPINAS
ITAPIRA P;COMERCIALIZADA;05/10/2020; 100 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapira;CAMPINAS
ITAPOLIS A;COMERCIALIZADA;01/01/1975; 20 ;CEESP;;Itápolis;CENTRAL
ITAPOLIS B;COMERCIALIZADA;29/02/1988; 60 ;Prog Municipal Habitação;;Itápolis;CENTRAL
ITAPOLIS C;COMERCIALIZADA;04/05/1990; 116 ;SH2;;Itápolis;CENTRAL
ITAPOLIS D1;COMERCIALIZADA;26/02/1992; 322 ;SH3;;Itápolis;CENTRAL
ITAPOLIS D2;COMERCIALIZADA;20/12/1994; 113 ;SH3;;Itápolis;CENTRAL
ITAPOLIS D3;COMERCIALIZADA;18/04/1997; 182 ;SH4;;Itápolis;CENTRAL
ITAPOLIS E;COMERCIALIZADA;29/12/1992; 100 ;SH3;;Itápolis;CENTRAL
ITAPOLIS G;COMERCIALIZADA;07/08/2004; 47 ;Autoconstrução;;Itápolis;CENTRAL
ITAPOLIS G;COMERCIALIZADA;19/12/2004; 52 ;Autoconstrução;;Itápolis;CENTRAL
ITAPOLIS G;COMERCIALIZADA;27/10/2005; 59 ;Autoconstrução;;Itápolis;CENTRAL
ITAPOLIS G;COMERCIALIZADA;28/04/2006; 42 ;Autoconstrução;;Itápolis;CENTRAL
ITAPOLIS H;COMERCIALIZADA;14/04/2007; 48 ;Parceria com Municípios;;Itápolis;CENTRAL
ITAPOLIS H;COMERCIALIZADA;14/11/2008; 61 ;Parceria com Municípios;;Itápolis;CENTRAL
ITAPOLIS H;COMERCIALIZADA;20/10/2009; 41 ;Parceria com Municípios;;Itápolis;CENTRAL
ITAPORANGA A;COMERCIALIZADA;07/05/1997; 159 ;SH4;;Itaporanga;ITAPEVA
ITAPORANGA B1;COMERCIALIZADA;20/12/2002; 100 ;Sonho Meu;;Itaporanga;ITAPEVA
ITAPORANGA B2;COMERCIALIZADA;05/12/2003; 108 ;Autoconstrução;;Itaporanga;ITAPEVA
ITAPORANGA C;COMERCIALIZADA;29/11/2014; 55 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaporanga;ITAPEVA
ITAPUI A;COMERCIALIZADA;05/05/1993; 45 ;SH3;;Itapuí;BAURU
ITAPUI B1;COMERCIALIZADA;24/03/1998; 161 ;SH4;;Itapuí;BAURU
ITAPUI C;COMERCIALIZ. PARCIAL;17/09/2022; 30 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapuí;BAURU
ITAPURA A/B/C;COMERCIALIZADA;28/10/1994; 104 ;SH4;;Itapura;ARAÇATUBA
ITAPURA D;COMERCIALIZADA;09/03/2009; 15 ;Parceria com Municípios;;Itapura;ARAÇATUBA
ITAPURA VI E;COMERCIALIZADA;06/12/2014; 68 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itapura;ARAÇATUBA
ITAQUAQUECETUBA - RESIDENCIAL VILA DE SAO MIGUEL;COMERCIALIZADA;05/08/2011; 138 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA ( ITAQUAQUECETUBA I);COMERCIALIZADA;30/12/2009; 60 ;Recuperação Socioambiental Serra do Mar;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA (CONDOMINIO DAS ROSAS);COMERCIALIZADA;30/12/2009; 200 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA (CONDOMINIO DAS TULIPAS);COMERCIALIZADA;30/12/2009; 200 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA (CONDOMINIO VIOLETAS);COMERCIALIZADA;30/12/2009; 100 ;Produção Direta;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA A (CONDOMINIO PEDRA BONITA);COMERCIALIZADA;30/12/2009; 200 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA B1 - JD ODETE;COMERCIALIZADA;12/11/1988; 96 ;SH1;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA B1 - JD ODETE;COMERCIALIZADA;11/08/1989; 408 ;SH1;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA B2/B3 (JD. ODETE I);COMERCIALIZADA;29/12/2012; 220 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA B4;COMERCIALIZADA;25/04/2007; 10 ;Parceria com Municípios;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA C (RESIDENCIAL MORADA DAS FLORES);COMERCIALIZADA;30/12/2009; 200 ;Produção Direta;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA D - CHAC.  ITALIANOS;COMERCIALIZADA;11/08/1989; 378 ;SH1;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E01;COMERCIALIZADA;13/04/1997; 278 ;SH3;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E02;COMERCIALIZADA;26/04/1998; 192 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E03;COMERCIALIZADA;30/08/1998; 200 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E04;COMERCIALIZADA;13/03/1998; 224 ;SH4;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E05;COMERCIALIZADA;26/04/1998; 76 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E06;COMERCIALIZADA;30/08/1998; 40 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E07;COMERCIALIZADA;30/08/1998; 80 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E08;COMERCIALIZADA;23/09/2001; 60 ;Mutirão;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA E09;COMERCIALIZADA;31/05/2003; 40 ;Mutirão Associativo;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA F;COMERCIALIZADA;29/01/2004; 260 ;Mutirão Associativo;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA I01 (MORRO BRANCO);COMERCIALIZADA;28/09/2008; 160 ;Parceria Associações e Cooperativas;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA I02 (MORRO BRANCO);COMERCIALIZADA;28/09/2008; 160 ;Parceria Associações e Cooperativas;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA I03 (MORRO BRANCO);COMERCIALIZADA;28/09/2008; 160 ;Parceria Associações e Cooperativas;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA I04 (MORRO BRANCO);COMERCIALIZADA;29/05/2011; 160 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA J (RMITQ-1);COMERCIALIZADA;01/11/2003; 260 ;Núcleo Habitacional por Empreitada;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA M ( RMITQ-4);COMERCIALIZADA;01/11/2003; 220 ;Núcleo Habitacional por Empreitada;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA N (RMITQ-5);COMERCIALIZADA;30/10/2005; 170 ;Núcleo Habitacional por Empreitada;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA O/P/Q ( RMITQ-3);COMERCIALIZADA;30/10/2005; 300 ;Núcleo Habitacional por Empreitada;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA T1/T2/T3;COMERCIALIZADA;05/01/2012; 360 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA V (CONDOMINIO PORTAL DA SERRA);COMERCIALIZADA;27/12/2009; 120 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA V (CONDOMINIO PORTAL DA SERRA);COMERCIALIZADA;30/12/2009; 60 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITAQUAQUECETUBA Z ( A SAFIRA);COMERCIALIZADA;19/12/2009; 100 ;Reassentamento Habitacional;;Itaquaquecetuba;METROPOLITANA SÃO PAULO
ITARARE - MICROCREDITO;COMERCIALIZADA;31/12/2007; 1 ;Crédito Habitacional;;Itararé;ITAPEVA
ITARARE A;COMERCIALIZADA;29/12/1983; 213 ;PLANHAP;;Itararé;ITAPEVA
ITARARE B;COMERCIALIZADA;17/10/1997; 151 ;SH4;;Itararé;ITAPEVA
ITARARE D;COMERCIALIZADA;28/08/2004; 110 ;Autoconstrução;;Itararé;ITAPEVA
ITARARE E;COMERCIALIZADA;15/06/2019; 262 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itararé;ITAPEVA
ITARIRI - MICROCREDITO;COMERCIALIZADA;31/12/2007; 1 ;Crédito Habitacional;;Itariri;REGISTRO
ITARIRI A;COMERCIALIZADA;15/11/1988; 50 ;SH2;;Itariri;REGISTRO
ITARIRI B;COMERCIALIZADA;12/02/1996; 44 ;SH4;;Itariri;REGISTRO
ITARIRI C;COMERCIALIZADA;12/02/1996; 55 ;SH4;;Itariri;REGISTRO
ITARIRI D;COMERCIALIZADA;16/10/2002; 30 ;Sonho Meu;;Itariri;REGISTRO
ITARIRI E;COMERCIALIZADA;26/12/2008; 72 ;Parceria com Municípios;;Itariri;REGISTRO
ITARIRI F (ALDEIA RIO DO AZEITE);COMERCIALIZADA;12/09/2008; 12 ;Moradias Indígenas;;Itariri;REGISTRO
ITARIRI G (ALDEIA CAPOEIRAO);COMERCIALIZADA;15/12/2015; 3 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itariri;REGISTRO
ITARIRI G (ALDEIA CAPOEIRAO);COMERCIALIZADA;17/06/2016; 9 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itariri;REGISTRO
ITARIRI H;COMERCIALIZADA;06/05/2020; 72 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itariri;REGISTRO
ITATIBA - MICROCREDITO;COMERCIALIZADA;31/12/2007; 6 ;Crédito Habitacional;;Itatiba;CAMPINAS
ITATIBA A (A05/A07/A08/A09);COMERCIALIZADA;04/02/2005; 464 ;Núcleo Habitacional por Empreitada;;Itatiba;CAMPINAS
ITATIBA A (A10/A11/A12);COMERCIALIZADA;04/02/2005; 332 ;Núcleo Habitacional por Empreitada;;Itatiba;CAMPINAS
ITATIBA A03;COMERCIALIZADA;11/11/1995; 384 ;SH3;;Itatiba;CAMPINAS
ITATIBA A04;COMERCIALIZADA;26/05/1998; 140 ;SH4;;Itatiba;CAMPINAS
ITATIBA A06;COMERCIALIZADA;28/11/2006; 114 ;Mutirão Associativo;;Itatiba;CAMPINAS
ITATIBA A1;COMERCIALIZADA;01/11/1981; 449 ;PLANHAP;;Itatiba;CAMPINAS
ITATIBA A11 - FASE 2;COMERCIALIZADA;08/05/2009; 124 ;Parceria com Municípios;;Itatiba;CAMPINAS
ITATIBA A2;COMERCIALIZADA;17/12/1993; 348 ;SH2;;Itatiba;CAMPINAS
ITATIBA B1;COMERCIALIZADA;06/03/1998; 177 ;SH4;;Itatiba;CAMPINAS
ITATIBA B2;COMERCIALIZADA;18/12/1998; 134 ;Mutirão;;Itatiba;CAMPINAS
ITATINGA A;COMERCIALIZADA;01/01/1977; 22 ;CEESP;;Itatinga;SOROCABA
ITATINGA B1;COMERCIALIZADA;30/05/1988; 40 ;Prog Municipal Habitação;;Itatinga;SOROCABA
ITATINGA C;COMERCIALIZADA;03/10/1991; 152 ;SH2;;Itatinga;SOROCABA
ITATINGA C2;COMERCIALIZADA;02/07/2016; 12 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itatinga;SOROCABA
ITATINGA C2;COMERCIALIZADA;05/07/2016; 3 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itatinga;SOROCABA
ITATINGA C2;COMERCIALIZADA;22/07/2016; 4 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itatinga;SOROCABA
ITATINGA C2;COMERCIALIZADA;16/09/2016; 15 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itatinga;SOROCABA
ITATINGA E1;COMERCIALIZADA;13/12/2001; 102 ;Sonho Meu;;Itatinga;SOROCABA
ITATINGA E2;COMERCIALIZADA;21/10/2002; 100 ;Sonho Meu;;Itatinga;SOROCABA
ITATINGA E3;COMERCIALIZADA;04/10/2003; 54 ;Núcleo Habitacional por Empreitada;;Itatinga;SOROCABA
ITATINGA F;COMERCIALIZADA;21/10/2016; 90 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itatinga;SOROCABA
ITATINGA F;COMERCIALIZADA;18/08/2017; 180 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itatinga;SOROCABA
ITIRAPINA A1/A2;COMERCIALIZADA;09/02/1996; 96 ;SH4;;Itirapina;CAMPINAS
ITIRAPINA V C - PROJETO BOROROS;COMERCIALIZADA;27/06/2016; 15 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itirapina;CAMPINAS
ITIRAPINA V C - PROJETO BOROROS;COMERCIALIZADA;21/09/2016; 15 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itirapina;CAMPINAS
ITIRAPINA V C - PROJETO BOROROS;COMERCIALIZADA;04/04/2017; 12 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Itirapina;CAMPINAS
ITIRAPUA A;COMERCIALIZADA;22/11/1992; 124 ;SH3;;Itirapuã;FRANCA
ITIRAPUA B;COMERCIALIZADA;29/12/2002; 50 ;Sonho Meu;;Itirapuã;FRANCA
ITIRAPUA B;COMERCIALIZADA;25/10/2003; 52 ;Sonho Meu;;Itirapuã;FRANCA
ITIRAPUA C;COMERCIALIZADA;26/05/2011; 102 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itirapuã;FRANCA
ITIRAPUA D;COMERCIALIZADA;18/02/2021; 115 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itirapuã;FRANCA
ITOBI A;COMERCIALIZADA;30/03/2005; 98 ;Autoconstrução;;Itobi;CAMPINAS
ITOBI B;COMERCIALIZADA;22/12/2013; 54 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itobi;CAMPINAS
ITU - MICROCREDITO;COMERCIALIZADA;31/12/2007; 2 ;Crédito Habitacional;;Itu;SOROCABA
ITU A;COMERCIALIZADA;09/10/1981; 652 ;PLANHAP;;Itu;SOROCABA
ITU F1;COMERCIALIZADA;05/07/2002; 448 ;Sonho Meu;;Itu;SOROCABA
ITU F2;COMERCIALIZADA;01/05/2003; 336 ;Núcleo Habitacional por Empreitada;;Itu;SOROCABA
ITUPEVA A;COMERCIALIZADA;23/03/1991; 69 ;SH2;;Itupeva;CAMPINAS
ITUPEVA B;COMERCIALIZADA;18/03/1990; 18 ;SH2;;Itupeva;CAMPINAS
ITUPEVA C;COMERCIALIZADA;21/12/2002; 160 ;Sonho Meu;;Itupeva;CAMPINAS
ITUPEVA D;COMERCIALIZADA;28/04/2012; 144 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Itupeva;CAMPINAS
ITUVERAVA;COMERCIALIZADA;31/07/1993; 3 ;Lotes Próprios;;Ituverava;FRANCA
ITUVERAVA;COMERCIALIZADA;05/12/1993; 2 ;Lotes Próprios;;Ituverava;FRANCA
ITUVERAVA;COMERCIALIZADA;28/02/1995; 8 ;Lotes Próprios;;Ituverava;FRANCA
ITUVERAVA;COMERCIALIZADA;28/02/1995; 14 ;Lotes Próprios;;Ituverava;FRANCA
ITUVERAVA A1;COMERCIALIZADA;25/10/1982; 112 ;PLANHAP;;Ituverava;FRANCA
ITUVERAVA A2;COMERCIALIZADA;02/12/1991; 94 ;SH3;;Ituverava;FRANCA
ITUVERAVA B;COMERCIALIZADA;28/12/1993; 113 ;SH4;;Ituverava;FRANCA
ITUVERAVA C/D/E/F/G1;COMERCIALIZADA;13/05/1997; 24 ;SH4;;Ituverava;FRANCA
ITUVERAVA C/D/E/F/G1;COMERCIALIZADA;22/05/1998; 325 ;SH4;;Ituverava;FRANCA
ITUVERAVA C/D/E/F/G1;COMERCIALIZADA;22/08/1998; 500 ;SH4;;Ituverava;FRANCA
ITUVERAVA G2;COMERCIALIZADA;26/04/2001; 98 ;Sonho Meu;;Ituverava;FRANCA
ITUVERAVA G3;COMERCIALIZADA;26/04/2001; 35 ;Sonho Meu;;Ituverava;FRANCA
ITUVERAVA I (VILA DIGNIDADE);COMERCIALIZADA;28/11/2014; 24 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Ituverava;FRANCA
JABORANDI A1;COMERCIALIZADA;30/05/1988; 60 ;Prog Municipal Habitação;;Jaborandi;BARRETOS
JABORANDI B1;COMERCIALIZADA;14/02/1996; 64 ;SH4;;Jaborandi;BARRETOS
JABORANDI B2;COMERCIALIZADA;11/09/1996; 7 ;Sonho Meu;;Jaborandi;BARRETOS
JABORANDI C;COMERCIALIZADA;28/12/1999; 150 ;Sonho Meu;;Jaborandi;BARRETOS
JABORANDI D;COMERCIALIZADA;15/12/2005; 71 ;Autoconstrução;;Jaborandi;BARRETOS
JABORANDI E;COMERCIALIZADA;19/12/2004; 20 ;Autoconstrução;;Jaborandi;BARRETOS
JABORANDI F;COMERCIALIZADA;01/10/2010; 137 ;Parceria com Municípios;;Jaborandi;BARRETOS
JABOTICABAL A;COMERCIALIZADA;30/03/1996; 500 ;SH4;;Jaboticabal;RIBEIRÃO PRETO
JABOTICABAL A;COMERCIALIZADA;20/12/1996; 104 ;SH4;;Jaboticabal;RIBEIRÃO PRETO
JABOTICABAL C1;COMERCIALIZADA;20/05/2000; 37 ;Sonho Meu;;Jaboticabal;RIBEIRÃO PRETO
JABOTICABAL C1;COMERCIALIZADA;30/11/2001; 8 ;Sonho Meu;;Jaboticabal;RIBEIRÃO PRETO
JABOTICABAL D;COMERCIALIZADA;28/12/2011; 234 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Jaboticabal;RIBEIRÃO PRETO
JABOTICABAL D;COMERCIALIZADA;13/07/2012; 117 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Jaboticabal;RIBEIRÃO PRETO
JACAREI - MICROCREDITO;COMERCIALIZADA;31/12/2007; 30 ;Crédito Habitacional;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI A;COMERCIALIZADA;29/08/1983; 866 ;PLANHAP;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI B;COMERCIALIZADA;29/02/1988; 70 ;Prog Municipal Habitação;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI D;COMERCIALIZADA;16/10/1997; 120 ;SH4;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI D;COMERCIALIZADA;14/03/1998; 400 ;SH4;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI D;COMERCIALIZADA;29/05/1998; 80 ;SH4;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI G1;COMERCIALIZADA;27/02/2000; 320 ;Chamamento Empresarial;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI G2;COMERCIALIZADA;27/02/2000; 320 ;Chamamento Empresarial;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI I;COMERCIALIZADA;12/05/2005; 10 ;Atuação em Favelas e Áreas de Risco;;Jacareí;SAO JOSÉ DOS CAMPOS
JACAREI I;COMERCIALIZADA;12/04/2006; 10 ;Atuação em Favelas e Áreas de Risco;;Jacareí;SAO JOSÉ DOS CAMPOS
JACI A1;COMERCIALIZADA;12/05/1997; 100 ;SH4;;Jaci;SÃO JOSÉ DO RIO PRETO
JACI A2;COMERCIALIZADA;11/04/2000; 17 ;Sonho Meu;;Jaci;SÃO JOSÉ DO RIO PRETO
JACI B;COMERCIALIZADA;30/09/2002; 60 ;Sonho Meu;;Jaci;SÃO JOSÉ DO RIO PRETO
JACI B2;COMERCIALIZADA;30/09/2002; 30 ;Sonho Meu;;Jaci;SÃO JOSÉ DO RIO PRETO
JACI C;COMERCIALIZADA;03/10/2008; 95 ;Parceria com Municípios;;Jaci;SÃO JOSÉ DO RIO PRETO
JACI D;COMERCIALIZADA;24/03/2018; 145 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Jaci;SÃO JOSÉ DO RIO PRETO
JACUPIRANGA D1;COMERCIALIZADA;15/09/2002; 168 ;Sonho Meu;;Jacupiranga;REGISTRO
JACUPIRANGA D2;COMERCIALIZADA;15/09/2002; 67 ;Sonho Meu;;Jacupiranga;REGISTRO
JACUPIRANGA E;COMERCIALIZADA;03/04/2020; 79 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Jacupiranga;REGISTRO
JACUPIRANGA-CAPRICHANDO A MORADA 2008;COMERCIALIZADA;30/12/2008; 11 ;Parceria Associações e Cooperativas;;Jacupiranga;REGISTRO
JACUPIRANGA-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 10 ;Parceria Associações e Cooperativas;;Jacupiranga;REGISTRO
JACUPIRANGA-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 29 ;Parceria Associações e Cooperativas;;Jacupiranga;REGISTRO
JAGUARIUNA A;COMERCIALIZADA;12/09/1990; 118 ;SH2;;Jaguariúna;CAMPINAS
JAGUARIUNA B;COMERCIALIZADA;29/05/1992; 221 ;SH3;;Jaguariúna;CAMPINAS
JALES - MICROCREDITO;COMERCIALIZADA;31/12/2007; 16 ;Crédito Habitacional;;Jales;SÃO JOSÉ DO RIO PRETO
JALES A;COMERCIALIZADA;01/01/1976; 40 ;CEESP;;Jales;SÃO JOSÉ DO RIO PRETO
